"","clust","dim 1","dim 2","dim 3","per agent - food consumers","per agent - food retailers","per agent - food distributors transporters","per agent - food producers","per agent - generic agents","per agent - food traders","per agent - non-food agents other","per agent - no agents","per agent - political entities","per agent - food storers and processors","modelling - primary or secondary","per model - biophysical domain","modelling - data quan spatial","per model - economic domain","per model - logistic domain","per model - social domain","per model - ABM","per model - cellular automata","per model - CGE model","per model - mathematical other","per model - microsimulation model","per model - optimisation","per model - PE model","per model - statistical/econometric","per model - system dynamics model","modelling - aggregated quantitative","modelling - disaggregated qualitative","modelling - disaggregated quantitative","food - consumption","food - distribution & transport","food - production*","food - retail","food - storage and processing","food - trade & wholesale","food - cereals & cereal products","food - compisite foods*","food - composite crops*","food - fodder crops and derived products","food - fruits and derived products","food - livestock and animal sourced foods**","food - non-food crops and derived products**","food - oil crops and vegetable oils and fats**","food - pulses, nuts, and derived products**","food - roots and tubers, and derived products","food - seeds for planting*","food - stimulant crops, sugar crops, derived products, and additives**","food - vegetables and derived products","spatial & temporal - spatial extent [m2]","spatial & temporal - temporal resolution [d]","spatial & temporal - temporal extent [d]","spatial & temporal - spatial resolution [m2]","spatial & temporal - ref quan scale","spatial & temporal - geographic representation","spatial & temporal - hypothetical representation","spatial - East Asia & Pacific","spatial - Europe & Central Asia","spatial - Latin America & Caribbean","spatial - Middle East & North Africa","spatial - NA","spatial - North America","spatial - South Asia","spatial - Sub-Saharan Africa","per measure - communal","per measure - process-based simulation","per measure - spatially targeted?","per measure - private","per measure - public","per measure - effect-based simulation","gov - obj access","gov - obj availability","gov - obj environmental/climate","gov - obj health & wellbeing","gov - obj infrastructure, logistics & technology","gov - obj macro-economic","gov - obj other","gov - obj stability","gov - obj utilisation","gov - At-large processing","gov - At-large storage and custody","gov - At-large treatment","gov - Bearer-directed payments","gov - Bespoke messages","gov - Bounties","gov - Conditional tokens","gov - Conduits","gov - Contracts","gov - Enablements","gov - Group-targeted constraints","gov - Group-targeted messages","gov - Group-targeted transportation and distribution","gov - Group treatnent","gov - Open compacts","gov - Open permits","gov - Packaged self-serve messages","gov - Processing","gov - Propaganda","gov - Standard constraints","gov - Storage and custody","gov - Transfers","gov - Transport and distribution","per effect - intended?","per effect - global impact","per effect - impact within jurisdiction","per effect - impact outside jurisdiction","aff food consumers","aff food distributors transporters","aff food producers","aff food retailers","aff food storers and processors","aff food traders","aff generic agents","aff other non-food agents","aff political entities","FS - access","FS - availability","FS - stability","FS - utilisation","Document"
"21","2",-1.29151272892362,1.48723547968236,-0.189855598156672,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Alary 2005"
"22","2",-1.30524013434629,1.60658563618944,-0.131554838331799,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","Alary 2005"
"23","2",-1.06572754268806,1.58533953613284,0.00364739830145264,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","Alary 2005"
"24","2",-0.724063929388766,1.42202207142583,0.295916598051716,"no","no","no","yes","no","no","no","no","no","no","secondary","yes",0,"yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no",7.415e+09,365,1826,NA,3,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","assumed","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Alary 2005"
"25","2",0.00671883598685202,3.26111926575358,3.1144890885401,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",1,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","no","concrete","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
"26","2",0.0204462414095207,3.14176910924669,3.05618832871529,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",1,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","no","concrete","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
"27","2",0.168786549265592,3.32768141692657,3.14038716703834,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","no","concrete","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
"28","2",0.182513954688343,3.20833126041968,3.08208640721349,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","no","concrete","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
"33","2",0.0431858133494651,2.58057523847205,2.75548729963175,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","unclear","concrete","no","unclear","unclear","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
"34","2",0.0294584079267017,2.69992539497903,2.81378805945659,"yes","yes","no","no","no","no","no","no","no","no","secondary","no",0,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes",9.83352e+12,NA,NA,NA,4,"no","no","no","no","no","no","no","yes","no","no","unclear","concrete","no","unclear","unclear","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","Allcott 2020"
